url,title,price,producer,size,pin,chip,ram,memory
https://didongthongminh.vn/iphone-11-128gb-chinh-hang-vn-a-phien-ban-hop-moi,iPhone 11 128GB Chính Hãng VN/A,"
                                13.090.000đ                            ",iphone,"
                                                    6.1"" - Tần số quét 60 Hz                                            ","
                                                    3110 mAh                                            ","
                                                    Apple A13 Bionic 6 nhân                                            ","
                        4 GB                                            ","
                        128 GB                                            "
https://didongthongminh.vn/iphone-11-64gb,iPhone 11 64GB Chính Hãng VN/A,"
                                11.690.000đ                            ",iphone,"
                                                    6.1"" - Tần số quét 60 Hz                                            ","
                                                    3110 mAh                                            ","
                                                    Apple A13 Bionic 6 nhân                                            ","
                        4 GB                                            ","
                        64 GB                                            "
https://didongthongminh.vn/iphone-13-pro-max-256gb-chinh-hang-vn-a,iPhone 13 Pro Max 256GB Chính hãng VN/A,"
                                31.750.000đ                            ",iphone,"
                                                    6.7"" - Tần số quét 120 Hz                                            ","
                                                    4352 mAh                                            ","
                                                    Apple A15 Bionic 6 nhân                                            ","
                        6 GB                                            ","
                        256 GB                                            "
https://didongthongminh.vn/iphone-13-pro-256gb-chinh-hang-vn-a,iPhone 13 Pro 256GB Chính hãng VN/A,"
                                29.650.000đ                            ",iphone,"
                                                    6.1"" - Tần số quét 120 Hz                                            ","
                                                    3095 mAh                                            ","
                                                    Apple A15 Bionic 6 nhân                                            ","
                        6 GB                                            ","
                        256 GB                                            "
https://didongthongminh.vn/iphone-13-pro-max,iPhone 13 Pro Max 128GB Chính hãng VN/A,"
                                29.190.000đ                            ",iphone,"
                                                    6.7"" - Tần số quét 120 Hz                                            ","
                                                    4352 mAh                                            ","
                                                    Apple A15 Bionic 6 nhân                                            ","
                        6 GB                                            ","
                        128 GB                                            "
https://didongthongminh.vn/iphone-12-64gb-chinh-hang-vn-a,iPhone 12 64GB Chính Hãng VN/A,"
                                15.890.000đ                            ",iphone,"
                                                    6.1"" - Tần số quét 60 Hz                                            ","
                                                    2815 mAh                                            ","
                                                    Apple A14 Bionic 6 nhân                                            ","
                        4 GB                                            ","
                        64 GB                                            "
https://didongthongminh.vn/iphone-13-256gb,iPhone 13 256GB Chính Hãng VN/A,"
                                22.790.000đ                            ",iphone,"
                                                    6.1"" - Tần số quét 60 Hz                                            ","
                                                    3240 mAh                                            ","
                                                    Apple A15 Bionic 6 nhân                                            ","
                        6 GB                                            ","
                        256 GB                                            "
https://didongthongminh.vn/iphone-13-128gb,iPhone 13 128GB Chính Hãng VN/A,"
                                19.990.000đ                            ",iphone,"
                                                    6.1"" - Tần số quét 60 Hz                                            ","
                                                    3240 mAh                                            ","
                                                    Apple A15 Bionic 6 nhân                                            ","
                        4 GB                                            ","
                        128 GB                                            "
https://didongthongminh.vn/iphone-13-pro-128gb-chinh-hang-vn-a,iPhone 13 Pro 128GB Chính hãng VN/A,"
                                26.990.000đ                            ",iphone,"
                                                    6.1"" - Tần số quét 120 Hz                                            ","
                                                    3095 mAh                                            ","
                                                    Apple A15 Bionic 6 nhân                                            ","
                        6 GB                                            ","
                        128 GB                                            "
https://didongthongminh.vn/iphone-12-128gb-chinh-hang-vn-a,iPhone 12 128GB Chính Hãng VN/A,"
                                17.590.000đ                            ",iphone,"
                                                    6.1"" - Tần số quét 60 Hz                                            ","
                                                    2815 mAh                                            ","
                                                    Apple A14 Bionic 6 nhân                                            ","
                        4 GB                                            ","
                        128 GB                                            "
https://didongthongminh.vn/iphone-13-pro-max-512gb-chinh-hang-vn-a,iPhone 13 Pro Max 512GB Chính hãng VN/A,"
                                37.490.000đ                            ",iphone,"
                                                    6.7"" - Tần số quét 120 Hz                                            ","
                                                    4352 mAh                                            ","
                                                    Apple A15 Bionic 6 nhân                                            ","
                        6 GB                                            ","
                        512 GB                                            "
https://didongthongminh.vn/iphone-12-pro-max-256gb-cu-99-dep-nhu-moi,iPhone 12 Pro Max Cũ Đẹp 256GB,"
                                23.990.000đ                            ",iphone,"
                                                    6.7"" - Tần số quét 60 Hz                                            ","
                                                    3687 mAh                                            ",,,"
                        8 GB                                            "
https://didongthongminh.vn/iphone-12-pro-max-cu-dep-128gb,iPhone 12 Pro Max Cũ Đẹp 128GB,"
                                22.490.000đ                            ",iphone,"
                                                    6.7"" - Tần số quét 60 Hz                                            ","
                                                    3687 mAh                                            ","
                                                    Apple A14 Bionic 6 nhân                                            ","
                        6 GB                                            ","
                        128 GB                                            "
https://didongthongminh.vn/iphone-11-pro-max-cu-64gb-nguyen-ban-cam-ket-zin-100-dep-nhu-moi,iPhone 11 Pro Max Cũ Đẹp 64G,"
                                14.690.000đ                            ",iphone,"
                                                    6.5""                                            ","
                                                    3969 mAh                                            ","
                                                    Apple A13 Bionic 6 nhân                                            ","
                        4 GB                                            ","
                        64 GB                                            "
https://didongthongminh.vn/iphone-12-pro-128gb-cu-99-dep-nhu-moi,iPhone 12 Pro 128GB Cũ Nguyên Bản Đẹp Như Mới,"
                                19.490.000đ                            ",iphone,"
                                                    6.1"" - Tần số quét 60 Hz                                            ","
                                                    2815 mAh                                            ","
                                                    Apple A14 Bionic 6 nhân                                            ","
                        6 GB                                            ","
                        128 GB                                            "
https://didongthongminh.vn/iphone-12-64gb-da-kich-hoat-fullbox,iPhone 12 64GB Đã Kích Hoạt Nguyên Hộp,"
                                13.490.000đ                            ",iphone,"
                                                    6.1"" - Tần số quét 60 Hz                                            ","
                                                    2815 mAh                                            ","
                                                    Apple A14 Bionic 6 nhân                                            ","
                        4 GB                                            ","
                        64 GB                                            "
https://didongthongminh.vn/iphone-13-512gb,iPhone 13 512GB Chính Hãng VN/A,"
                                25.980.000đ                            ",iphone,"
                                                    6.1"" - Tần số quét 60 Hz                                            ","
                                                    3240 mAh                                            ","
                                                    Apple A15 Bionic 6 nhân                                            ","
                        4 GB                                            ","
                        512 GB                                            "
https://didongthongminh.vn/iphone-se-3-chinh-hang,iPhone SE 3 2022 Chính Hãng VN/A,"
                                11.390.000đ                            ",iphone,"
                                                    4,7 inch                                            ",,,"
                        3 GB                                            ","
                        64 GB                                            "
https://didongthongminh.vn/iphone-12-pro-256gb-chinh-hang-vn-a,iPhone 12 Pro 256GB Chính Hãng VN/A,"
                                23.890.000đ                            ",iphone,"
                                                    6.1"" - Tần số quét 60 Hz                                            ","
                                                    2815 mAh                                            ","
                                                    Apple A14 Bionic 6 nhân                                            ","
                        6 GB                                            ","
                        256 GB                                            "
https://didongthongminh.vn/samsung-galaxy-a53-chinh-hang,Samsung Galaxy A53 5G 8GB 128GB Chính Hãng,"
                                    8.090.000đ                                ",samsung,"
                                                    6.5""                                             ","
                                                    5000 mAh                                            ",,"
                        8 GB                                            ","
                        128 GB                                            "
https://didongthongminh.vn/samsung-galaxy-a73-chinh-hang,Samsung Galaxy A73 5G 8GB/128GB Chính Hãng,"
                                    9.590.000đ                                ",samsung,"
                                                    6.7"" - Tần số quét 120 Hz                                            ","
                                                    5000 mAh                                            ",,"
                        8 GB                                            ","
                        128 GB                                            "
https://didongthongminh.vn/samsung-galaxy-a52-chinh-hang-4-camera-sau-pin-4500mah-1,Samsung Galaxy A52 8GB/128GB Chính Hãng,"
                                    6.490.000đ                                ",samsung,"
                                                    6.5""                                             ","
                                                    4500 mAh                                            ","
                                                    Snapdragon 720G 8 nhân                                            ","
                        8 GB                                            ","
                        128 GB                                            "
https://didongthongminh.vn/samsung-galaxy-a32-chinh-hang-4-camera-sau-pin-5000mah,Samsung Galaxy A32 6GB/128GB Chính Hãng,"
                                    5.490.000đ                                ",samsung,"
                                                    6.4"" - Tần số quét 90 Hz                                            ","
                                                    5000 mAh                                            ","
                                                    MediaTek Helio G80 8 nhân                                            ","
                        6 GB                                            ","
                        128 GB                                            "
https://didongthongminh.vn/samsung-galaxy-a23-4128gb-chinh-hang,Samsung Galaxy A23 4GB/128GB Chính Hãng ,"
                                    4.790.000đ                                ",samsung,"
                                                    6.6 inches                                            ","
                                                    5.000 mAh                                            ","
                                                    Snapdragon 680 (SM6225)                                            ","
                        4 GB                                            ","
                        128 GB                                            "
https://didongthongminh.vn/samsung-galaxy-s22-ultra-8gb-128gb-chinh-hang,Samsung Galaxy S22 Ultra 8GB/128GB Chính hãng,"
                                    23.890.000đ                                ",samsung,"
                                                    6.8 inch - 120Hz                                            ","
                                                    5000 mAh                                            ",,"
                        8 GB                                            ","
                        128 GB                                            "
https://didongthongminh.vn/samsung-galaxy-s22-ultra-12gb-256gb-chinh-hang,Samsung Galaxy S22 Ultra 12GB/256GB Chính hãng,"
                                    26.390.000đ                                ",samsung,"
                                                    6.8 inch - 120Hz                                            ","
                                                    5000 mAh                                            ",,"
                        8 GB                                            ","
                        256 GB                                            "
https://didongthongminh.vn/samsung-galaxy-a33-chinh-hang,Samsung Galaxy A33 5G Chính Hãng,"
                                    6.790.000đ                                ",samsung,"
                                                    6.4"" - Tần số quét 90 Hz                                            ","
                                                    5000 mAh                                            ",,"
                        6 GB                                            ","
                        128 GB                                            "
https://didongthongminh.vn/samsung-galaxy-z-flip-3-5g-chinh-hang,Samsung Galaxy Z Flip3 5G 8GB/128GB Chính hãng,"
                                    18.990.000đ                                ",samsung,"
                                                    Chính 6.7"" & Phụ 1.9"" - Tần số quét 120 Hz                                            ","
                                                    3300 mAh                                            ","
                                                    Snapdragon 888 8 nhân                                            ","
                        8 GB                                            ","
                        128 GB                                            "
https://didongthongminh.vn/samsung-galaxy-a03s-chinh-hang-moi,Samsung Galaxy A03S Chính Hãng 4/64Gb,"
                                    3.190.000đ                                ",samsung,"
                                                    6.5"" - Tần số quét 60 Hz                                            ","
                                                    5000 mAh                                            ",,"
","
                        8 GB                                            "
https://didongthongminh.vn/samsung-galaxy-s21-fe-8gb-128gb,Samsung Galaxy S21 FE 8GB/128GB,"
                                    13.290.000đ                                ",samsung,"
                                                     6.4 inch - 120Hz, HDR10 +                                            ","
                                                    4500 mAh                                            ",,"
                        8 GB                                            ","
                        128 GB                                            "
https://didongthongminh.vn/samsung-galaxy-a03-3gb32gb-chinh-hang,Samsung Galaxy A03 3GB/32GB Chính Hãng,"
                                    2.690.000đ                                ",samsung,"
                                                    6.5"" - Tần số quét 60 Hz                                            ","
                                                    5000 mAh                                            ",,"
                        3 GB                                            ","
                        32 GB                                            "
https://didongthongminh.vn/samsung-galaxy-a22-tien-phong-cong-nghe-camera-chong-rung-quang-hoc,Samsung Galaxy A22 6GB/128GB Chính hãng,"
                                    4.590.000đ                                ",samsung,"
                                                    6.4"" - Tần số quét 90 Hz                                            ","
                                                    5000 mAh                                            ","
                                                    MediaTek MT6769V 8 nhân                                            ","
                        6 GB                                            ","
                        128 GB                                            "
